lon,lat,ds_sd
137.95,33.709,1.0706
137.88,33.779,6.384
137.72,33.882,19.741
137.76,33.791,12.289
136.02,32.83,1.6037
135.96,32.905,8.0974
136.13,32.816,0.014017
138.27,34.001,2.9699
137.32,33.798,20.168
137.4,33.787,19.253
138.4,34.043,0.0057586
138.34,33.996,0.33643
136.2,32.885,1.9878
136.19,32.977,7.6798
134.89,32.554,1.448
134.93,32.516,0.29349
135,32.949,10.786
135.06,32.913,7.2903
135.31,32.91,6.0919
135.37,32.856,3.9416
137.34,33.342,1.1677
137.26,33.294,0.31063
138.48,35.268,0.032525
138.46,35.179,11.536
135.65,33.035,18.168
136.62,33.994,31.59
137.87,34.7,15.238
138.02,34.756,27.728
136.86,34.156,28.794
136.94,34.194,29.385
136.96,34.274,28.527
135.3,33.425,23.215
137.01,34.147,30.699
133.18,31.942,11.752
132.91,32.075,37.042
137.01,33.725,16.53
137.95,34.682,23.318
137.98,34.592,26.462
136.37,33.593,33.812
136.98,34.06,29.645
136.88,34.071,28.468
135.91,33.503,40.357
132.96,32.007,29.946
133.06,32.017,22.947
138.29,34.536,31.792
138.3,34.464,29.002
132.24,32.493,58.59
131.83,31.806,1.357
132.95,32.153,39.017
135.94,33.58,39.799
131.93,30.499,-0.0050114
137.81,34.567,16.448
137.91,34.465,27.929
137.91,34.541,24.717
135.61,33.481,33.597
135.5,33.463,30.77
135.64,33.321,34.552
138.01,34.172,25.242
133.89,32.267,1.939
135.22,33.375,20.741
135.13,33.424,19.035
136.49,33.52,26.449
136.4,33.514,30.975
133.1,31.943,17.43
133.05,31.872,16.214
134.43,32.896,42.679
136.19,33.727,42.341
136.29,33.621,38.807
136.27,33.712,40.109
136.1,33.68,42.653
132.63,32.845,70.888
136.51,33.382,20.352
138.38,34.586,24.509
132.37,32.645,65.715
135.71,33.093,22.786
135.47,33.406,29.863
135.38,33.382,25.982
133.25,32.801,43.093
133.34,32.87,43.883
135.21,33.285,20.177
134.33,32.853,40.892
135.81,33.514,38.042
135.79,33.092,22.727
132.41,32.414,69.971
133.75,32.196,1.3554
135.49,33.008,13.584
135.4,33.033,13.916
135.32,33,9.3471
135.57,33.047,18.546
135.57,33.124,21.94
135.49,33.164,22.744
137.71,34.661,2.693
137.79,34.637,11.06
137.6,33.988,29.81
135.86,33.344,39.001
135.66,33.159,26.459
135.7,33.243,32.199
135.82,33.258,34.699
133.78,32.352,4.818
133.81,32.269,2.6294
133.9,33.351,59.78
134.33,32.772,34.177
135.53,33.32,30.387
135.48,33.254,26.215
135.39,33.29,24.694
135.4,33.113,17.401
133.28,32.718,37.376
134.27,32.991,55.967
134.25,32.899,48.96
133.16,32.837,52.503
134.16,33.568,55.649
134.25,33.612,48.185
135.31,33.244,20.908
135.31,33.156,18.418
131.61,31.159,-54.219
138.51,35.107,14.765
134.46,33.645,33.911
137.04,34.314,29.111
132.77,32.923,70.198
132.75,32.855,70.692
137.97,34.324,32.238
138.04,34.257,27.826
136.04,33.573,42.551
136.11,33.624,42.892
132.02,31.854,16.421
132.03,31.771,10.418
132.68,32.712,72.004
135.19,33.121,14.997
131.6,30.86,-50.391
137.63,34.617,3.7331
137.51,34.532,10.053
137.6,34.549,10.305
132.15,31.327,-22.438
132.81,32.068,43.986
132.77,32.137,50.352
131.92,31.414,-27.831
133.15,32.644,43.692
133.24,32.65,36.438
136.2,33.256,24.587
131.66,31.227,-49.709
131.62,31.287,-45.871
134.31,33.493,57.478
138.14,34.272,24.175
136.51,33.603,27.277
136.44,33.649,31.706
137.35,34.538,11.494
137.41,34.602,2.684
133.98,32.325,3.9681
132.6,32.776,71.695
133.1,32.245,32.727
138.2,34.343,26.652
138.2,34.409,30.414
138,34.413,32.167
138.1,34.446,33.723
136.1,33.497,41.816
136.21,33.579,40.974
136.2,33.504,40.068
133.99,33.33,64.089
132.83,32.584,63.722
135.04,33.028,13.192
131.63,30.763,-38.571
131.72,30.718,-30.548
133.14,33.096,65.097
137.55,34.642,-1.3319
137.49,34.593,4.281
132.08,31.633,1.7172
133.02,32.305,40.857
133.39,32.699,31.078
132.3,31.951,40.641
133.04,33.075,67.743
133.14,32.934,57.907
132.1,31.085,-39.825
132.08,31.176,-37.516
137.5,34.001,32.969
137.43,33.938,28.958
133.4,32.612,27.287
132.71,32.583,69.634
132.64,32.642,72.275
134.99,33.159,18.868
131.66,31.09,-57.72
136.07,33.442,40.815
136.11,33.373,38.01
131.87,31.339,-35.023
131.79,31.316,-42.774
136.11,33.214,24.549
136.03,33.234,30.431
131.95,32.015,24.985
136.64,33.469,17.861
136.55,33.458,21.759
132.47,32.69,70.479
132.5,32.766,68.917
132.08,31.466,-13.058
132.05,31.521,-8.443
136.62,33.913,30.039
136.72,33.88,25.117
133.17,33.155,64.732
131.58,30.713,-28.426
133.3,32.578,30.288
133.27,32.504,28.546
132.53,31.553,9.2859
136.71,34.049,30.068
133.47,32.567,20.981
132.59,32.342,67.906
132.68,32.508,69.134
132.5,32.555,73.067
132.54,32.629,72.979
135.22,33.005,9.3044
135.16,33.05,12.24
134.87,33.06,21.319
134.97,33.079,17.516
135.1,33.179,17.473
135.11,33.255,18.52
137.59,34.333,31.123
137.58,34.414,25.423
137.8,34.43,28.292
137.64,34.147,36.628
132.16,30.663,-18.034
131.81,30.758,-38.209
132.35,31.627,9.6346
132.26,31.644,8.5741
132.25,31.808,25.784
135.98,33.441,41.025
135.95,33.362,39.938
136.03,33.318,36.001
131.6,31.014,-59.211
131.66,30.927,-57.366
134.36,33.022,55.803
134.44,32.972,47.788
132.75,31.998,40.382
136.19,33.364,34.208
136.24,33.308,27.989
132.95,31.876,21.937
132.91,31.937,27.446
133.84,32.419,7.7263
133.84,33.276,57.014
133.87,33.184,55.16
132.63,32.213,60.041
132.66,32.144,56.093
138.51,34.945,14.022
132.09,30.484,-0.015386
132.14,30.52,-6.8193
136.88,33.647,15.226
136.92,33.722,16.985
133.18,32.49,35.31
133.11,32.559,42.876
137.49,34.3,32.909
137.52,34.149,38.548
137.45,34.074,36.869
134.9,33.216,23.232
133.33,32.37,20.579
133.34,32.447,22.243
133.67,32.357,6.2493
133.62,32.434,9.757
134.51,33.532,38.194
134.6,33.548,29.45
137.67,34.307,34.871
137.7,34.218,36.579
133.99,33.053,53.943
137.04,34.393,26.903
134.55,33.646,25.823
134.62,33.604,26.045
134.7,33.61,19.506
132.01,30.777,-36.213
134.53,32.999,45.24
132.64,32.008,45.287
132.65,31.87,32.273
136.35,33.445,30.694
136.4,33.375,25.346
136.25,33.44,36.2
