latitude,longitude,depth,ew,ns,ew_error,ns_error,ew_normal,ns_normal,ud_normal
40.53385,140.7998,-109.469,0.115671,-0.0863,0.027785,0.028985,-0.51565,0.047144,0.855499
40.53385,141.1329,-91.4565,0.100862,-0.11867,0.026333,0.026696,-0.54355,0.042759,0.838289
40.53385,141.4999,-70.533,0.061877,-0.13733,0.026787,0.02649,-0.5207,0.037037,0.852939
40.53385,141.867,-53.4073,0.019538,-0.12072,0.02835,0.026564,-0.43276,0.031839,0.900947
40.53385,142.2,-42.2865,0.004283,-0.08386,0.028808,0.028701,-0.31947,0.025276,0.947261
40.53385,142.5671,-33.4718,0.016451,-0.04806,0.02885,0.036388,-0.24951,0.017532,0.968213
40.53385,142.9331,-26.2788,0.033222,-0.02538,0.033187,0.05031,-0.20396,0.012322,0.978903
40.53385,143.3002,-20.5215,0.032031,-0.01338,0.045848,0.069809,-0.17044,0.010812,0.98531
40.53384,143.6333,-16.1111,0.014425,-0.00279,0.074009,0.102471,-0.14412,0.011826,0.98949
40.53383,144.0003,-11.9531,-0.00133,0.000484,0.095261,0.12547,-0.13343,0.015453,0.990938
40.23366,138.9996,-197.698,0.000434,-0.0009,0.072169,0.070941,-0.51662,0.077154,0.852734
40.23369,139.3666,-178.768,0.025211,-0.01071,0.054727,0.054745,-0.51619,0.08017,0.852715
40.2337,139.6997,-161.64,0.060809,-0.02486,0.036772,0.038903,-0.50899,0.08174,0.856882
40.23371,140.0667,-143.238,0.084957,-0.03742,0.032476,0.035266,-0.50034,0.076494,0.862446
40.23372,140.4328,-125.122,0.100885,-0.05642,0.029722,0.031808,-0.49606,0.066007,0.865776
40.23372,140.7998,-107.21,0.109717,-0.08374,0.027149,0.028072,-0.50818,0.06031,0.859136
40.23373,141.1329,-89.9685,0.115119,-0.11146,0.025335,0.025791,-0.52827,0.051906,0.847486
40.23373,141.4999,-70.2784,0.121158,-0.12011,0.025306,0.025846,-0.51267,0.030436,0.858049
40.23373,141.867,-52.535,0.142511,-0.0972,0.027019,0.026361,-0.433,0.024106,0.90107
40.23373,142.2,-41.4595,0.183266,-0.07004,0.027949,0.027852,-0.31342,0.020535,0.949391
40.23373,142.5671,-32.8634,0.21968,-0.05476,0.028002,0.033975,-0.24183,0.014448,0.970211
40.23373,142.9331,-25.9338,0.216939,-0.04714,0.03184,0.046519,-0.19913,0.007867,0.979942
40.23372,143.3002,-20.1906,0.164972,-0.03521,0.043886,0.064917,-0.16889,0.00515,0.985621
40.23372,143.6332,-15.82,0.070092,-0.01417,0.071383,0.096463,-0.14592,0.005146,0.989283
40.23371,144.0003,-11.4432,0.000044,0.001124,0.09222,0.118831,-0.13854,0.009192,0.990314
39.96697,138.9996,-195.602,0.001329,-0.00048,0.068955,0.067114,-0.52099,0.083112,0.849509
39.96699,139.3667,-176.16,0.032379,-0.01089,0.05202,0.051617,-0.52193,0.084666,0.848778
39.96701,139.6997,-158.479,0.06432,-0.02112,0.035286,0.037132,-0.50877,0.088511,0.856342
39.96702,140.0668,-140.308,0.079479,-0.02928,0.03185,0.03419,-0.48871,0.084348,0.868357
39.96702,140.4328,-123.295,0.085349,-0.04505,0.029427,0.030957,-0.48425,0.07194,0.871968
39.96703,140.7999,-105.547,0.096839,-0.07368,0.026867,0.027462,-0.50785,0.061194,0.859269
39.96703,141.1329,-87.782,0.128528,-0.10603,0.024874,0.025404,-0.52253,0.062321,0.850341
39.96703,141.4999,-68.726,0.194228,-0.11893,0.024731,0.025762,-0.49813,0.049331,0.865698
39.96703,141.867,-51.765,0.306454,-0.10449,0.026581,0.026679,-0.42133,0.033833,0.906278
39.96703,142.2,-40.856,0.422218,-0.09485,0.027832,0.027632,-0.30595,0.016428,0.951907
39.96703,142.5671,-32.4273,0.47703,-0.09807,0.028017,0.032436,-0.23578,0.009806,0.971756
39.96703,142.9331,-25.6785,0.435792,-0.09545,0.031811,0.043896,-0.19418,0.004869,0.980954
39.96703,143.3002,-20.0503,0.318012,-0.07338,0.043758,0.061463,-0.16691,0.002569,0.985968
39.96702,143.6332,-15.6601,0.133114,-0.03152,0.071056,0.092285,-0.14773,0.003776,0.989021
39.96702,144.0002,-11.1704,0.001329,-0.00048,0.09174,0.1143,-0.14222,0.008088,0.989802
39.66687,138.9997,-192.84,0.001329,-0.00048,0.067078,0.064252,-0.51585,0.089558,0.851985
39.6669,139.3667,-173.765,0.036288,-0.00803,0.050517,0.049261,-0.51966,0.087101,0.849922
39.66691,139.6998,-156.006,0.059423,-0.01007,0.034709,0.035848,-0.5073,0.082893,0.857773
39.66693,140.0668,-137.812,0.062188,-0.01056,0.03178,0.033428,-0.48746,0.076203,0.869817
39.66693,140.4328,-120.557,0.059181,-0.02318,0.029366,0.030369,-0.47882,0.078198,0.874424
39.66694,140.7999,-103.408,0.081557,-0.06087,0.026716,0.027141,-0.50271,0.075237,0.861174
39.66694,141.1329,-85.5154,0.152763,-0.11642,0.024865,0.025301,-0.51616,0.069244,0.85369
39.66694,141.5,-66.9013,0.289699,-0.16324,0.024973,0.025695,-0.48662,0.050092,0.872175
39.66694,141.867,-50.1921,0.491983,-0.18242,0.026811,0.026822,-0.40313,0.03461,0.91449
39.66694,142.2,-40.4639,0.669327,-0.19114,0.028071,0.027775,-0.28923,0.01616,0.957123
39.66694,142.5671,-32.1232,0.724849,-0.19132,0.028612,0.032043,-0.23089,0.008169,0.972947
39.66694,142.9331,-25.5155,0.637654,-0.17002,0.033216,0.042675,-0.19061,0.003722,0.98166
39.66693,143.3001,-19.9001,0.457089,-0.12422,0.04568,0.059596,-0.16651,0.001509,0.986038
39.66693,143.6332,-15.4181,0.188853,-0.05205,0.07311,0.089971,-0.15125,0.002537,0.988492
39.66692,144.0002,-10.7263,0.001329,-0.00048,0.093789,0.111813,-0.14776,0.008455,0.988987
39.3668,138.9997,-189.947,0.001329,-0.00048,0.064987,0.060925,-0.52035,0.101873,0.847857
39.36682,139.3668,-170.432,0.035442,-0.00395,0.048804,0.046506,-0.51718,0.110312,0.848737
39.36684,139.6998,-152.996,0.04432,0.004338,0.033784,0.034264,-0.49543,0.106649,0.862075
39.36685,140.0668,-135.411,0.032953,0.012898,0.031211,0.032404,-0.48081,0.090531,0.872138
39.36685,140.4329,-117.899,0.027819,0.003208,0.028799,0.029592,-0.48162,0.084207,0.872324
39.36686,140.7999,-100.251,0.079537,-0.04872,0.026247,0.026733,-0.50209,0.084402,0.860686
39.36686,141.1329,-82.5647,0.213485,-0.14035,0.024941,0.025161,-0.50211,0.07827,0.861256
39.36686,141.5,-65.1935,0.426291,-0.2401,0.025543,0.025646,-0.46672,0.062092,0.882225
39.36686,141.867,-49.2235,0.67184,-0.3025,0.026958,0.027168,-0.38631,0.042936,0.921368
39.36686,142.2,-39.8264,0.843782,-0.31858,0.028109,0.028443,-0.27623,0.026344,0.96073
39.36686,142.567,-31.7814,0.87561,-0.29581,0.029828,0.032127,-0.22321,0.013467,0.974678
39.36686,142.9331,-25.3099,0.759605,-0.24389,0.035891,0.041976,-0.18586,0.006103,0.982558
39.36686,143.3001,-19.8113,0.542602,-0.17138,0.049022,0.058453,-0.16405,0.002007,0.98645
39.36685,143.6331,-15.3397,0.223277,-0.06964,0.076527,0.08857,-0.1539,0.001704,0.988086
39.36685,144.0002,-10.3789,0.001329,-0.00048,0.097164,0.110318,-0.15363,0.00343,0.988123
39.06673,138.9998,-186.193,0.001329,-0.00048,0.062491,0.057259,-0.52777,0.120929,0.840737
39.06676,139.3668,-166.086,0.03247,-0.00163,0.046684,0.043482,-0.51893,0.130415,0.844807
39.06678,139.6999,-148.578,0.026607,0.014658,0.03235,0.032487,-0.483,0.129228,0.866035
39.06679,140.0669,-131.829,0.004124,0.030117,0.030063,0.031164,-0.46519,0.113337,0.877924
39.06679,140.4329,-114.847,0.00697,0.022199,0.027794,0.028638,-0.47465,0.098847,0.874607
39.0668,140.7999,-97.3079,0.104224,-0.04038,0.025609,0.026237,-0.49826,0.092652,0.862064
39.0668,141.1329,-79.7077,0.312484,-0.15594,0.025039,0.025115,-0.49548,0.08298,0.864644
39.0668,141.5,-62.382,0.584016,-0.28521,0.02626,0.025894,-0.45331,0.069682,0.888628
39.0668,141.867,-47.1675,0.809986,-0.36001,0.027234,0.0275,-0.36546,0.049709,0.929497
39.0668,142.2,-38.6352,0.923187,-0.3722,0.02839,0.028691,-0.2571,0.033808,0.965792
39.0668,142.567,-31.16,0.919199,-0.34237,0.031777,0.032188,-0.21078,0.019623,0.977336
39.0668,142.9331,-24.9937,0.79196,-0.27984,0.039538,0.041887,-0.17887,0.010215,0.983819
39.06679,143.3001,-19.6423,0.566606,-0.19528,0.053355,0.058262,-0.16135,0.005707,0.986881
39.06679,143.6331,-15.1335,0.233117,-0.07867,0.080892,0.088271,-0.15383,0.005459,0.988083
39.06678,144.0001,-10.2656,0.001329,-0.00048,0.101451,0.109955,-0.15321,0.008079,0.98816
38.79999,138.9999,-182.2,0.001329,-0.00048,0.060878,0.054884,-0.53454,0.142545,0.833033
38.80002,139.3669,-161.681,0.03147,-0.00286,0.045341,0.041615,-0.51654,0.154994,0.842117
38.80003,139.6999,-144.339,0.016694,0.01691,0.031397,0.031453,-0.47149,0.141925,0.870377
38.80004,140.0669,-128.037,-0.01001,0.035692,0.02921,0.030371,-0.45285,0.129497,0.882134
38.80005,140.4329,-111.49,0.008979,0.027689,0.027075,0.027975,-0.46736,0.118767,0.876051
38.80005,140.7999,-93.9,0.154174,-0.03976,0.025296,0.026003,-0.49027,0.110036,0.864597
38.80005,141.133,-76.8361,0.42296,-0.15912,0.025303,0.025477,-0.48042,0.093241,0.872069
38.80005,141.5,-60.3485,0.71697,-0.28347,0.02703,0.026495,-0.43357,0.072087,0.898234
38.80005,141.867,-45.9656,0.893212,-0.34835,0.027981,0.027898,-0.3487,0.042906,0.936252
38.80005,142.2,-37.6,0.94924,-0.35922,0.029486,0.029441,-0.24681,0.033583,0.968481
38.80005,142.567,-30.4771,0.910617,-0.33511,0.034437,0.033693,-0.20054,0.023785,0.979398
38.80005,142.933,-24.5788,0.774551,-0.2785,0.043941,0.043804,-0.17243,0.015707,0.984897
38.80005,143.3001,-19.3361,0.553113,-0.19603,0.058679,0.060276,-0.15869,0.01111,0.987265
38.80005,143.6331,-14.8402,0.226968,-0.0793,0.086547,0.090271,-0.15721,0.011396,0.9875
38.80004,144.0001,-9.64965,0.001329,-0.00048,0.107163,0.111956,-0.16091,0.019319,0.98678
38.49996,138.9999,-176.75,0.001329,-0.00048,0.059942,0.053775,-0.54594,0.178747,0.818533
38.49998,139.3669,-154.907,0.03639,-0.00835,0.04461,0.040827,-0.50515,0.175109,0.84508
38.5,139.6999,-139.258,0.022215,0.010148,0.030929,0.031002,-0.45065,0.152217,0.879629
38.50001,140.0669,-123.295,-0.00086,0.029079,0.028806,0.029912,-0.44421,0.142847,0.884463
38.50002,140.433,-106.94,0.03858,0.019683,0.026815,0.027549,-0.45995,0.133471,0.877855
38.50002,140.8,-89.6459,0.223046,-0.04828,0.025476,0.02606,-0.47787,0.125317,0.869449
38.50002,141.133,-73.2865,0.523182,-0.15676,0.025832,0.026272,-0.46389,0.107138,0.879388
38.50002,141.5,-57.3723,0.803845,-0.25537,0.027754,0.027668,-0.40762,0.091592,0.908546
38.50002,141.867,-44.582,0.928381,-0.30428,0.029084,0.028989,-0.32365,0.058271,0.94438
38.50002,142.2,-36.3738,0.94083,-0.31685,0.031435,0.031232,-0.23701,0.040788,0.97065
38.50002,142.567,-29.5746,0.874969,-0.30112,0.037696,0.036741,-0.19124,0.029496,0.9811
38.50002,142.933,-23.9059,0.731363,-0.25482,0.048617,0.047617,-0.16576,0.021728,0.985927
38.50002,143.3,-18.8285,0.518723,-0.18126,0.064341,0.064341,-0.15558,0.016129,0.987692
38.50002,143.633,-14.2964,0.211433,-0.0738,0.092864,0.094428,-0.16181,0.016423,0.986686
38.50001,144.0001,-8.80932,0.001329,-0.00048,0.113753,0.116196,-0.17021,0.026403,0.985054
38.19994,139,-169.1,0.001329,-0.00048,0.057359,0.051581,-0.53159,0.194221,0.824436
38.19997,139.367,-148.089,0.05017,-0.01699,0.042456,0.039012,-0.4835,0.167862,0.859097
38.19998,139.7,-133.941,0.048365,-0.00363,0.029488,0.029613,-0.43444,0.153059,0.887602
38.19999,140.067,-117.942,0.035856,0.013342,0.027726,0.028612,-0.43883,0.143874,0.886979
38.2,140.433,-102.011,0.092705,0.002802,0.026148,0.026531,-0.45561,0.142954,0.878629
38.2,140.8,-84.6,0.293795,-0.06164,0.025426,0.025755,-0.46623,0.139713,0.873562
38.2,141.133,-69.1411,0.585433,-0.15312,0.025987,0.026662,-0.44577,0.116615,0.887522
38.2,141.5,-53.533,0.828799,-0.22486,0.027719,0.028306,-0.38465,0.088849,0.918777
38.2,141.867,-42.1338,0.917414,-0.26029,0.029488,0.029502,-0.2945,0.064527,0.95347
38.2,142.2,-34.8,0.902485,-0.27269,0.032946,0.032533,-0.21983,0.047983,0.974357
38.2,142.567,-28.4288,0.817909,-0.26162,0.040366,0.039562,-0.18146,0.038417,0.982647
38.2,142.933,-23.0087,0.670271,-0.22271,0.052383,0.051605,-0.15869,0.031683,0.98682
38.2,143.3,-18.153,0.470297,-0.15882,0.069036,0.068907,-0.15153,0.026675,0.988093
38.2,143.633,-13.6265,0.189606,-0.06468,0.098275,0.099218,-0.16666,0.024896,0.985699
38.19999,144,-7.61387,0.001329,-0.00048,0.119457,0.121045,-0.18095,0.025655,0.983158
37.93324,139,-163.241,0.001329,-0.00048,0.055062,0.049961,-0.50438,0.193444,0.841537
37.93326,139.367,-143.441,0.069829,-0.02557,0.040555,0.037551,-0.46931,0.145203,0.871012
37.93328,139.7,-129.245,0.086454,-0.01781,0.028406,0.028442,-0.42785,0.142071,0.892612
37.93329,140.067,-113.838,0.085792,-0.00299,0.027037,0.027582,-0.43932,0.140817,0.887225
37.9333,140.433,-97.2518,0.149392,-0.01371,0.025926,0.025893,-0.46006,0.152022,0.874777
37.9333,140.8,-79.7604,0.340749,-0.07304,0.025857,0.02572,-0.4543,0.151443,0.87788
37.9333,141.133,-65.2884,0.596375,-0.15065,0.026655,0.027017,-0.41372,0.128682,0.901266
37.9333,141.5,-51.4745,0.797818,-0.20758,0.02812,0.028703,-0.35651,0.086333,0.930294
37.9333,141.867,-40.4374,0.864618,-0.23339,0.030013,0.030171,-0.28097,0.062215,0.957697
37.9333,142.2,-33.3109,0.834754,-0.23953,0.034567,0.03447,-0.21228,0.054536,0.975685
37.9333,142.567,-27.0628,0.739819,-0.22611,0.043347,0.043293,-0.17607,0.050585,0.983076
