latitude,longitude,depth,ew,ns,ew_error,ns_error,ew_normal,ns_normal,ud_normal
39.66693,140.0668,-137.812,2.949141,-0.52912,1.56121,1.55707,-0.48746,0.076203,0.869817
39.66693,140.4328,-120.557,0.057773,0.603265,1.412485,1.416416,-0.47882,0.078198,0.874424
39.66694,140.7999,-103.408,0.136509,0.036035,1.282435,1.296487,-0.50271,0.075237,0.861174
39.66694,141.1329,-85.5154,1.189594,-1.49376,1.140582,1.184501,-0.51616,0.069244,0.85369
39.66694,141.5,-66.9013,0.080201,-0.68881,0.987973,1.011247,-0.48662,0.050092,0.872175
39.66694,141.867,-50.1921,0.002451,0.367474,0.910988,0.956474,-0.40313,0.03461,0.91449
39.66694,142.2,-40.4639,0.42889,-0.83919,1.127033,1.13723,-0.28923,0.01616,0.957123
39.66694,142.5671,-32.1232,-0.7267,-0.5935,1.449027,1.423575,-0.23089,0.008169,0.972947
39.66694,142.9331,-25.5155,1.39516,-0.63567,1.682629,2.009568,-0.19061,0.003722,0.98166
39.66693,143.3001,-19.9001,2.676333,-0.87359,2.202892,2.903482,-0.16651,0.001509,0.986038
39.66693,143.6332,-15.4181,1.84506,-0.60092,3.844369,4.786755,-0.15125,0.002537,0.988492
39.66692,144.0002,-10.7263,0.000484,0.001329,5.229175,6.2388,-0.14776,0.008455,0.988987
39.3668,138.9997,-189.947,-0.00133,0.000484,2.829974,2.732206,-0.52035,0.101873,0.847857
39.36682,139.3668,-170.432,-1.44874,0.608899,2.117417,2.108358,-0.51718,0.110312,0.848737
39.36684,139.6998,-152.996,2.060773,-0.74964,1.655953,1.635823,-0.49543,0.106649,0.862075
39.36685,140.0668,-135.411,2.270129,-0.56472,1.52365,1.510494,-0.48081,0.090531,0.872138
39.36685,140.4329,-117.899,-0.59842,0.874247,1.387956,1.40258,-0.48162,0.084207,0.872324
39.36686,140.7999,-100.251,0.663622,0.029903,1.263643,1.278568,-0.50209,0.084402,0.860686
39.36686,141.1329,-82.5647,0.897349,-1.56156,1.11107,1.143204,-0.50211,0.07827,0.861256
39.36686,141.5,-65.1935,-0.49461,-0.30894,0.998447,1.004296,-0.46672,0.062092,0.882225
39.36686,141.867,-49.2235,1.528186,-0.23766,0.930967,0.941616,-0.38631,0.042936,0.921368
39.36686,142.2,-39.8264,0.286898,-0.42218,1.146295,1.178336,-0.27623,0.026344,0.96073
39.36686,142.567,-31.7814,0.545758,-0.35046,1.508336,1.51282,-0.22321,0.013467,0.974678
39.36686,142.9331,-25.3099,4.737566,-1.60793,1.820667,2.009394,-0.18586,0.006103,0.982558
39.36686,143.3001,-19.8113,5.807086,-1.96667,2.376552,2.869934,-0.16405,0.002007,0.98645
39.36685,143.6331,-15.3397,3.398802,-1.17144,4.006005,4.753689,-0.1539,0.001704,0.988086
39.36685,144.0002,-10.3789,0.001329,-0.00048,5.377363,6.212586,-0.15363,0.00343,0.988123
39.06673,138.9998,-186.193,-0.00133,0.000484,2.70945,2.607836,-0.52777,0.120929,0.840737
39.06676,139.3668,-166.086,-1.04474,0.100296,2.047166,2.042013,-0.51893,0.130415,0.844807
39.06678,139.6999,-148.578,1.908926,-1.33,1.60522,1.584694,-0.483,0.129228,0.866035
39.06679,140.0669,-131.829,1.254806,-0.82911,1.473687,1.476328,-0.46519,0.113337,0.877924
39.06679,140.4329,-114.847,-2.01792,1.023801,1.354662,1.372866,-0.47465,0.098847,0.874607
39.0668,140.7999,-97.3079,0.099467,0.51079,1.231588,1.250223,-0.49826,0.092652,0.862064
39.0668,141.1329,-79.7077,0.729637,-0.96605,1.104767,1.121856,-0.49548,0.08298,0.864644
39.0668,141.5,-62.382,-0.23586,-0.56464,0.986893,1.019254,-0.45331,0.069682,0.888628
39.0668,141.867,-47.1675,1.983814,-0.35036,1.03223,1.044031,-0.36546,0.049709,0.929497
39.0668,142.2,-38.6352,2.128603,-0.68747,1.260591,1.324857,-0.2571,0.033808,0.965792
39.0668,142.567,-31.16,7.421657,-2.41498,1.571761,1.566084,-0.21078,0.019623,0.977336
39.0668,142.9331,-24.9937,12.06191,-4.11696,1.978802,1.997472,-0.17887,0.010215,0.983819
39.06679,143.3001,-19.6423,11.20709,-3.91906,2.565921,2.835471,-0.16135,0.005707,0.986881
39.06679,143.6331,-15.1335,5.677718,-2.01555,4.163976,4.706782,-0.15383,0.005459,0.988083
39.06678,144.0001,-10.2656,0.001329,-0.00048,5.510685,6.161045,-0.15321,0.008079,0.98816
38.79999,138.9999,-182.2,-0.00133,0.000484,2.610985,2.461526,-0.53454,0.142545,0.833033
38.80002,139.3669,-161.681,-0.82927,-0.30471,1.984355,1.974136,-0.51654,0.154994,0.842117
38.80003,139.6999,-144.339,1.787767,-1.88994,1.559993,1.546847,-0.47149,0.141925,0.870377
38.80004,140.0669,-128.037,1.030993,-1.31085,1.437904,1.445203,-0.45285,0.129497,0.882134
38.80005,140.4329,-111.49,-2.04388,0.679644,1.331377,1.341133,-0.46736,0.118767,0.876051
38.80005,140.7999,-93.9,0.852408,0.316111,1.207063,1.227958,-0.49027,0.110036,0.864597
38.80005,141.133,-76.8361,1.910245,-1.12773,1.08292,1.103069,-0.48042,0.093241,0.872069
38.80005,141.5,-60.3485,-0.44734,-0.44674,0.993991,0.998862,-0.43357,0.072087,0.898234
